SLC5A10,A0PJK1
CARNS1,A5YM72
PGP,A6NDG6
GGTLC3,B5MD39
TK2,O00142
ACOT7,O00154
SULT2B1,O00204
NDUFS8,O00217
HAS3,O00219
PIK3CD,O00329
PDHX,O00330
SLC28A1,O00337
SLC1A7,O00341
SLC33A1,O00400
PDE2A,O00408
PIK3C2A,O00443
PIK3R2,O00459
MANBA,O00462
PLOD2,O00469
SLC17A3,O00476
NDUFA4,O00483
NME4,O00746
PIK3C2B,O00750
MAN2B1,O00754
ACACB,O00763
PDXK,O00764
SCD,O00767
PLPP1,O14494
PLPP3,O14495
SDHD,O14521
COX7A2L,O14548
GAPDHS,O14556
NDUFAB1,O14561
ENPP3,O14638
PTGES,O14684
TRDMT1,O14717
IMPA2,O14732
ACOT8,O14734
CDIPT,O14735
FPGT,O14772
HS3ST1,O14792
PHYH,O14832
OPLAH,O14841
MGST3,O14880
PLD2,O14939
UQCRQ,O14949
UQCR11,O14957
SLC27A2,O14975
PIP5K1B,O14986
SYNJ2,O15056
PFAS,O15067
AGPAT2,O15120
DEGS1,O15121
GNPAT,O15228
KMO,O15229
NDUFA1,O15239
SLC22A2,O15244
SLC22A1,O15245
ACOX3,O15254
SPTLC1,O15269
SPTLC2,O15270
ALOX15B,O15296
PMM2,O15305
INPP4B,O15327
ATP6V0E1,O15342
INPPL1,O15357
BCAT2,O15382
SLC16A3,O15427
ABCC3,O15438
ABCC4,O15439
ABCC5,O15440
P4HA2,O15460
ST8SIA5,O15466
GYG2,O15488
PLA2G10,O15496
CYP27B1,O15528
CYP26A1,O43174
PHGDH,O43175
NDUFS4,O43181
PAPSS1,O43252
TREH,O43280
B4GALT5,O43286
GPAA1,O43292
ADCY6,O43306
SYNJ1,O43426
MGAM,O43451
SUV39H1,O43463
AKR7A2,O43488
B4GAT1,O43505
SLC26A4,O43511
CA12,O43570
NDUFB5,O43674
NDUFB3,O43676
NDUFC1,O43677
NDUFA2,O43678
PLPP2,O43688
GSTZ1,O43708
SLC25A20,O43772
SLC37A4,O43826
IDH3B,O43837
AHCYL1,O43865
SLC28A2,O43868
EXTL3,O43909
CHST1,O43916
